case,StartTime,CompleteTime,concept:name,org:resource,responsible
0,2022/1/3 17:00,2022/1/4 8:24,Insert ticket,res1-000001,1
0,2022/1/4 8:24,2022/1/4 11:47,Assign seriousness,res2-000001,1
0,2022/1/4 11:47,2022/1/4 14:51,Create SW anomaly,res3-000001,1
0,2022/1/4 14:51,2022/1/4 16:18,Resolve SW anomaly,res4-000001,1
0,2022/1/4 16:18,2022/1/5 8:09,Require upgrade,res5-000001,1
0,2022/1/5 8:09,2022/1/5 11:03,Take in charge ticket,res6-000001,1
0,2022/1/5 11:03,2022/1/5 12:48,Resolve ticket,res9-000001,1
0,2022/1/5 12:48,2022/1/5 14:11,Closed,res10-000001,1
1,2022/1/5 8:00,2022/1/5 11:14,Insert ticket,res1-000001,1
1,2022/1/5 11:14,2022/1/5 13:07,Assign seriousness,res2-000001,1
1,2022/1/5 13:07,2022/1/5 14:06,Create SW anomaly,res3-000001,1
1,2022/1/5 14:06,2022/1/5 16:25,Resolve SW anomaly,res4-000001,1
1,2022/1/5 16:25,2022/1/5 17:38,Require upgrade,res5-000001,1
1,2022/1/5 17:38,2022/1/6 10:13,Take in charge ticket,res6-000001,1
1,2022/1/6 10:13,2022/1/6 11:32,Resolve ticket,res9-000001,1
1,2022/1/6 11:32,2022/1/6 11:44,Closed,res10-000001,1
2,2022/1/6 8:00,2022/1/6 10:47,Insert ticket,res1-000001,1
2,2022/1/6 10:47,2022/1/6 12:02,Assign seriousness,res2-000001,1
2,2022/1/6 12:02,2022/1/6 14:45,Require upgrade,res5-000001,1
2,2022/1/6 14:45,2022/1/6 14:52,Take in charge ticket,res6-000001,1
2,2022/1/6 14:52,2022/1/6 16:19,Resolve ticket,res9-000001,1
2,2022/1/6 16:19,2022/1/6 17:40,Closed,res10-000001,1
3,2022/1/7 8:00,2022/1/7 9:58,Insert ticket,res1-000001,1
3,2022/1/7 9:58,2022/1/7 11:43,Assign seriousness,res2-000001,1
3,2022/1/7 11:43,2022/1/7 14:13,Take in charge ticket,res6-000001,1
3,2022/1/7 14:13,2022/1/7 15:44,Resolve ticket,res9-000001,1
3,2022/1/7 15:44,2022/1/10 8:10,Closed,res10-000001,1
4,2022/1/10 17:03,2022/1/11 8:23,Insert ticket,res1-000001,1
4,2022/1/11 8:23,2022/1/11 11:57,Assign seriousness,res2-000001,1
4,2022/1/11 11:57,2022/1/11 13:05,Create SW anomaly,res3-000001,1
4,2022/1/11 13:05,2022/1/11 14:22,Resolve SW anomaly,res4-000001,1
4,2022/1/11 14:22,2022/1/11 16:24,Require upgrade,res5-000001,1
4,2022/1/11 16:24,2022/1/12 9:03,Take in charge ticket,res6-000001,1
4,2022/1/12 9:03,2022/1/12 12:42,Resolve ticket,res9-000001,1
4,2022/1/12 12:42,2022/1/12 14:29,Closed,res10-000001,1
5,2022/1/12 8:00,2022/1/12 9:26,Insert ticket,res1-000001,1
5,2022/1/12 9:26,2022/1/12 10:50,Assign seriousness,res2-000001,1
5,2022/1/12 10:50,2022/1/12 12:27,Create SW anomaly,res3-000001,1
5,2022/1/12 12:27,2022/1/12 15:11,Resolve SW anomaly,res4-000001,1
5,2022/1/12 15:11,2022/1/13 8:12,Require upgrade,res5-000001,1
5,2022/1/13 8:12,2022/1/13 10:26,Take in charge ticket,res6-000001,1
5,2022/1/13 10:26,2022/1/13 11:37,Resolve ticket,res9-000001,1
5,2022/1/13 11:37,2022/1/13 12:33,Closed,res10-000001,1
6,2022/1/13 8:00,2022/1/13 9:40,Insert ticket,res1-000001,1
6,2022/1/13 9:40,2022/1/13 12:59,Assign seriousness,res2-000001,1
6,2022/1/13 12:59,2022/1/13 15:20,Create SW anomaly,res3-000001,1
6,2022/1/13 15:20,2022/1/13 17:13,Resolve SW anomaly,res4-000001,1
6,2022/1/13 17:13,2022/1/14 9:20,Require upgrade,res5-000001,1
6,2022/1/14 9:20,2022/1/14 11:25,Take in charge ticket,res6-000001,1
6,2022/1/14 11:25,2022/1/14 13:01,Resolve ticket,res9-000001,1
6,2022/1/14 13:01,2022/1/14 16:13,Closed,res10-000001,1
7,2022/1/14 8:00,2022/1/14 10:14,Insert ticket,res1-000001,1
7,2022/1/14 10:14,2022/1/14 11:34,Assign seriousness,res2-000001,1
7,2022/1/14 11:34,2022/1/14 12:27,Create SW anomaly,res3-000001,1
7,2022/1/14 12:27,2022/1/14 13:43,Resolve SW anomaly,res4-000001,1
7,2022/1/14 13:43,2022/1/14 14:45,Require upgrade,res5-000001,1
7,2022/1/14 14:45,2022/1/14 16:35,Take in charge ticket,res6-000001,1
7,2022/1/14 16:35,2022/1/17 9:16,Resolve ticket,res9-000001,1
7,2022/1/17 9:16,2022/1/17 9:31,Closed,res10-000001,1
8,2022/1/17 17:13,2022/1/18 8:53,Insert ticket,res1-000001,1
8,2022/1/18 8:53,2022/1/18 12:09,Assign seriousness,res2-000001,1
8,2022/1/18 12:09,2022/1/18 14:02,Create SW anomaly,res3-000001,1
8,2022/1/18 14:02,2022/1/18 16:19,Resolve SW anomaly,res4-000001,1
8,2022/1/18 16:19,2022/1/19 8:54,Require upgrade,res5-000001,1
8,2022/1/19 8:54,2022/1/19 10:47,Take in charge ticket,res6-000001,1
8,2022/1/19 10:47,2022/1/19 11:19,Resolve ticket,res9-000001,1
8,2022/1/19 11:19,2022/1/19 14:57,Closed,res10-000001,1
9,2022/1/19 8:00,2022/1/19 11:39,Insert ticket,res1-000001,1
9,2022/1/19 11:39,2022/1/19 13:08,Assign seriousness,res2-000001,1
9,2022/1/19 13:08,2022/1/19 15:43,Create SW anomaly,res3-000001,1
9,2022/1/19 15:43,2022/1/19 16:35,Resolve SW anomaly,res4-000001,1
9,2022/1/19 16:35,2022/1/19 17:40,Require upgrade,res5-000001,1
9,2022/1/19 17:40,2022/1/20 8:56,Take in charge ticket,res6-000001,1
9,2022/1/20 8:56,2022/1/20 11:07,Resolve ticket,res9-000001,1
9,2022/1/20 11:07,2022/1/20 15:32,Closed,res10-000001,1
10,2022/1/20 8:00,2022/1/20 9:34,Insert ticket,res1-000001,1
10,2022/1/20 9:34,2022/1/20 12:46,Assign seriousness,res2-000001,1
10,2022/1/20 12:46,2022/1/20 15:05,Create SW anomaly,res3-000001,1
10,2022/1/20 15:05,2022/1/20 15:58,Require upgrade,res5-000001,1
10,2022/1/20 15:58,2022/1/21 8:07,Take in charge ticket,res6-000001,1
10,2022/1/21 8:07,2022/1/21 10:29,Resolve ticket,res9-000001,1
10,2022/1/21 10:29,2022/1/21 14:16,Closed,res10-000001,1
11,2022/1/21 8:00,2022/1/21 10:16,Insert ticket,res1-000001,1
11,2022/1/21 10:16,2022/1/21 12:49,Assign seriousness,res2-000001,1
11,2022/1/21 12:49,2022/1/21 13:03,Create SW anomaly,res3-000001,1
11,2022/1/21 13:03,2022/1/21 16:15,Resolve SW anomaly,res4-000001,1
11,2022/1/21 16:15,2022/1/24 9:01,Require upgrade,res5-000001,1
11,2022/1/24 9:01,2022/1/24 10:16,Take in charge ticket,res6-000001,1
11,2022/1/24 10:16,2022/1/24 13:39,Resolve ticket,res9-000001,1
11,2022/1/24 13:39,2022/1/24 15:22,Closed,res10-000001,1
12,2022/1/24 17:23,2022/1/24 17:49,Assign seriousness,res2-000001,1
12,2022/1/24 17:49,2022/1/25 9:42,Create SW anomaly,res3-000001,1
12,2022/1/25 9:42,2022/1/25 11:38,Resolve SW anomaly,res4-000001,1
12,2022/1/25 11:38,2022/1/25 13:10,Require upgrade,res5-000001,1
12,2022/1/25 13:10,2022/1/25 14:25,Take in charge ticket,res6-000001,1
12,2022/1/25 14:25,2022/1/25 15:32,Resolve ticket,res9-000001,1
12,2022/1/25 15:32,2022/1/25 17:05,Closed,res10-000001,1
13,2022/1/26 8:00,2022/1/26 9:04,Insert ticket,res1-000001,1
13,2022/1/26 9:04,2022/1/26 10:07,Assign seriousness,res2-000001,1
13,2022/1/26 10:07,2022/1/26 11:16,Create SW anomaly,res3-000001,1
13,2022/1/26 11:16,2022/1/26 13:09,Resolve SW anomaly,res4-000001,1
13,2022/1/26 13:09,2022/1/26 14:28,Require upgrade,res5-000001,1
13,2022/1/26 14:28,2022/1/26 16:18,Take in charge ticket,res6-000001,1
13,2022/1/26 16:18,2022/1/27 8:37,Resolve ticket,res9-000001,1
13,2022/1/27 8:37,2022/1/27 9:09,Closed,res10-000001,1
14,2022/1/27 8:00,2022/1/27 8:20,Assign seriousness,res2-000001,1
